intelligence,appearence
развитый_ADJ,привлекательный_ADJ
находчивый_ADJ,соблазнительный_ADJ
любознательный_ADJ,роскошный_ADJ
гениальный_ADJ,румяный_ADJ
изобретательный_ADJ,пухлый_ADJ
проницательный_ADJ,обаятельный_ADJ
рассудительный_ADJ,великолепный_ADJ
способный_ADJ,стройный_ADJ
мудрый_ADJ,лысый_ADJ
сообразительный_ADJ,красивый_ADJ
умный_ADJ,модный_ADJ
логичный_ADJ,толстый_ADJ
вдумчивый_ADJ,слабый_ADJ
творческий_ADJ,симпатичный_ADJ
воспитанный_ADJ,очаровательный_ADJ
эрудированный_ADJ,непривлекательный_ADJ
заумный_ADJ,красота_NOUN
