science,arts
наука_NOUN,творчество_NOUN
образование_NOUN,творческий_ADJ
научный_ADJ,художник_NOUN
технология_NOUN,искусство_NOUN
физика_NOUN,танец_NOUN
химия_NOUN,литература_NOUN
эксперимент_NOUN,роман_NOUN
астрономия_NOUN,симфония_NOUN
исследование_NOUN,драма_NOUN
математика_NOUN,поэзия_NOUN
алгебра_NOUN,фольклор_NOUN
геометрия_NOUN,танец_NOUN
вычисление_NOUN,роман_NOUN
уравнение_NOUN,симфония_NOUN
сложение_NOUN,драма_NOUN
биология_NOUN,пение_NOUN
информатика_NOUN,поэтический_ADJ
университет_NOUN,комедия_NOUN
школа_NOUN,танцевать_VERB
институт_NOUN,опера_NOUN
