rationality,emotionality
разум_NOUN,сентиментальность_NOUN
рациональность_NOUN,чувство_NOUN
ум_NOUN,чувствительный_ADJ
осознание_NOUN,эмоция_NOUN
обдумать_VERB,эмоциональность_NOUN
взвешивать_VERB,эмоциональный_ADJ
мышление_NOUN,холерик_NOUN
ценностный_ADJ,жизнерадостный_ADJ
знание_NOUN,впечатление_NOUN
познание_NOUN,впечатлительный_ADJ
рассудительность_NOUN,настроение_NOUN
опыт_NOUN,ностальгический_ADJ
самодисциплина_NOUN,вспыльчивый_ADJ
прагматичный_ADJ,раздражительный_ADJ
расчетливый_ADJ,интуитивный_ADJ
самодисциплина_NOUN,интуиция_NOUN
