technical,humanitarian
электротехника_NOUN,социология_NOUN
машиностроение_NOUN,филология_NOUN
информатика_NOUN,педагогика_NOUN
программирование_NOUN,психология_NOUN
физика_NOUN,лингвистика_NOUN
математика_NOUN,обществознание_NOUN
физиолог_NOUN,литературоведение_NOUN
химия_NOUN,литература_NOUN
моделирование_NOUN,культурология_NOUN
радиотехника_NOUN,языкознание_NOUN
металлообработка_NOUN,естествознание_NOUN
радиоэлектроника_NOUN,религиоведение_NOUN
нанотехнология_NOUN,филологический_ADJ
инженерия_NOUN,домоводство_NOUN
биоэнергетика_NOUN,философия_NOUN
биоинженерия_NOUN,богословие_NOUN
