test_pos
	query_name	result	weat	effect_size	p_value
ruwikirus	Male names and Female names wrt career and family	0.3837576024991821	0.7486157875508073	0.3837576024991821	0.13188681131886812
news_upos	Male names and Female names wrt career and family	0.4224463042655379	0.7633824276737866	0.4224463042655379	0.10748925107489252
ruscorpora_upos	Male names and Female names wrt career and family	0.5154848833088533	1.5576673782896249	0.5154848833088533	0.06969303069693031
tayga	Male names and Female names wrt career and family	0.3465570739946166	0.7132378030568365	0.3465570739946166	0.16198380161983802
araneum	Male names and Female names wrt career and family	0.21535107337473375	0.35021940255537576	0.21535107337473375	0.26577342265773424
web_upos	Male names and Female names wrt career and family	0.355627032642689	0.7657902530860161	0.355627032642689	0.1581841815818418
geowac_tok_fasttext	Male names and Female names wrt career and family	-0.08345745914785667	-0.13892690725624535	-0.08345745914785667	0.5904409559044096
geowac_lem_fasttext	Male names and Female names wrt career and family	0.13851790922327908	0.27009580321610027	0.13851790922327908	0.3418658134186581
ruwikirus	Male names and Female names wrt intelligence and appearence	1.49712831656889	0.9615459322984166	1.49712831656889	9.999000099990002e-05
news_upos	Male names and Female names wrt intelligence and appearence	0.5217158764620229	0.3014261916772848	0.5217158764620229	0.06979302069793021
ruscorpora_upos	Male names and Female names wrt intelligence and appearence	1.3631564822679827	1.5677519408054652	1.3631564822679827	9.999000099990002e-05
tayga	Male names and Female names wrt intelligence and appearence	1.1004495398785665	0.8962912561152789	1.1004495398785665	0.0008999100089991
araneum	Male names and Female names wrt intelligence and appearence	1.146648889454439	0.8755726714015883	1.146648889454439	0.00039996000399960006
web_upos	Male names and Female names wrt intelligence and appearence	1.1106187535469927	1.2364391696995454	1.1106187535469927	0.0008999100089991
geowac_tok_fasttext	Male names and Female names wrt intelligence and appearence	1.3933170496215954	0.9067673158201882	1.3933170496215954	9.999000099990002e-05
geowac_lem_fasttext	Male names and Female names wrt intelligence and appearence	1.2459764625214609	0.9449230638497017	1.2459764625214609	0.00019998000199980003
ruwikirus	Male names and Female names wrt rationality and emotionality	1.0214630970708296	0.3812650725866357	1.0214630970708296	0.0014998500149985001
news_upos	Male names and Female names wrt rationality and emotionality	0.8340844613582056	0.39747606679641956	0.8340844613582056	0.0071992800719928
ruscorpora_upos	Male names and Female names wrt rationality and emotionality	0.9265601993671534	0.6307446655778525	0.9265601993671534	0.0022997700229977
tayga	Male names and Female names wrt rationality and emotionality	0.5855703967417201	0.2929958039409636	0.5855703967417201	0.0433956604339566
araneum	Male names and Female names wrt rationality and emotionality	0.8807087118442297	0.44438512960914545	0.8807087118442297	0.007499250074992501
web_upos	Male names and Female names wrt rationality and emotionality	0.7235920031392886	0.48457931291029244	0.7235920031392886	0.019498050194980503
geowac_tok_fasttext	Male names and Female names wrt rationality and emotionality	1.1839375014538192	0.5574285183257113	1.1839375014538192	0.00039996000399960006
geowac_lem_fasttext	Male names and Female names wrt rationality and emotionality	0.9320724953653546	0.4535057536947229	0.9320724953653546	0.0030996900309969004
ruwikirus	Male names and Female names wrt science and arts	0.5834669548226481	0.19520751152886084	0.5834669548226481	0.047295270472952705
news_upos	Male names and Female names wrt science and arts	0.17517163374457845	0.12205875259824128	0.17517163374457845	0.3120687931206879
ruscorpora_upos	Male names and Female names wrt science and arts	0.9104524361467373	0.5514849333267191	0.9104524361467373	0.004199580041995801
tayga	Male names and Female names wrt science and arts	0.2324406055258524	0.12709299817215652	0.2324406055258524	0.24547545245475452
araneum	Male names and Female names wrt science and arts	0.04308249693967792	0.016070588771253558	0.04308249693967792	0.4540545945405459
web_upos	Male names and Female names wrt science and arts	0.22069943817631865	0.11540200802264766	0.22069943817631865	0.26107389261073893
geowac_tok_fasttext	Male names and Female names wrt science and arts	-0.18629823439865337	-0.06894585574045786	-0.18629823439865337	0.7036296370362963
geowac_lem_fasttext	Male names and Female names wrt science and arts	0.2252599686838764	0.09460990177467488	0.2252599686838764	0.25407459254074594
ruwikirus	Male names and Female names wrt strength and weakness	1.180436336990771	0.5326479837143172	1.180436336990771	0.00019998000199980003
news_upos	Male names and Female names wrt strength and weakness	0.6834865068328715	0.26077073874572904	0.6834865068328715	0.0225977402259774
ruscorpora_upos	Male names and Female names wrt strength and weakness	0.7889323522151644	0.7173020868794994	0.7889323522151644	0.0117988201179882
tayga	Male names and Female names wrt strength and weakness	1.0640638046953923	0.4348955732226993	1.0640638046953923	0.0006999300069993001
araneum	Male names and Female names wrt strength and weakness	0.9783381995081111	0.4446731173795545	0.9783381995081111	0.0025997400259974
web_upos	Male names and Female names wrt strength and weakness	0.8158128176774397	0.6586653641683773	0.8158128176774397	0.010298970102989701
geowac_tok_fasttext	Male names and Female names wrt strength and weakness	-0.27305367760982907	-0.1358400207633774	-0.27305367760982907	0.795020497950205
geowac_lem_fasttext	Male names and Female names wrt strength and weakness	0.8710511789521588	0.3780638895307977	0.8710511789521588	0.0052994700529947
ruwikirus	Male names and Female names wrt technical and humanitarian	0.40544641961178735	0.1192232353205327	0.40544641961178735	0.12308769123087691
news_upos	Male names and Female names wrt technical and humanitarian	0.4695255170788031	0.16603561032388825	0.4695255170788031	0.0898910108989101
ruscorpora_upos	Male names and Female names wrt technical and humanitarian	0.3197053386536455	0.15776736770931166	0.3197053386536455	0.17678232176782321
tayga	Male names and Female names wrt technical and humanitarian	1.1490197786652872	0.41261781062348746	1.1490197786652872	0.00039996000399960006
araneum	Male names and Female names wrt technical and humanitarian	0.8665456589661816	0.3054181137122214	0.8665456589661816	0.006399360063993601
web_upos	Male names and Female names wrt technical and humanitarian	0.2706034555101412	0.127688536682399	0.2706034555101412	0.22427757224277572
geowac_tok_fasttext	Male names and Female names wrt technical and humanitarian	0.6651615874493874	0.20814977872318452	0.6651615874493874	0.0282971702829717
geowac_lem_fasttext	Male names and Female names wrt technical and humanitarian	0.263602887227248	0.09209423058200628	0.263602887227248	0.22257774222577742
